itemId,account,category,oldTier,newTier,h,w,l,weightG,status,error
MLB4350797000,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3559629677,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3559628875,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB4353730156,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB4375994906,JOTABÊ AUTOPEÇAS,MLB191714,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB4359496928,JOTABÊ AUTOPEÇAS,MLB47110,MEDIUM,LARGE,30,40,50,5000,ok,
MLB4414702062,JOTABÊ AUTOPEÇAS,MLB47102,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3587636127,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB3590228685,JOTABÊ AUTOPEÇAS,MLB47102,SMALL,MEDIUM,25,25,25,2000,ok,
MLB4444455542,JOTABÊ AUTOPEÇAS,MLB191714,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3597429367,JOTABÊ AUTOPEÇAS,MLB191714,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3601602517,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,ok,
