productId,h,w,l,weightKg,source,itemRef,error
"cmnckfekd022gvs60f9wt90qo","30","50","80","12","cat:MLB101763->XLARGE","MLB4632187934",""
"cmnclac7u01wxvs1cckwgs72d","30","40","50","5","kw:LARGE","MLB4631233996",""
"cmnckfekd022dvs60l1g2832t","30","50","80","12","cat:MLB101763->XLARGE","MLB4631963380",""
"cmncla47v000fvs1c9i599qb4","15","15","15","0.6","kw:SMALL","MLB3671447833",""
"cmnclac7u01wyvs1cy4cd4cam","15","15","15","0.6","kw:SMALL","MLB4635404236",""
"cmnckfekd022hvs602tm0f8gf","30","50","80","12","cat:MLB101763->XLARGE","MLB4632208892",""
"cmnclac7u01wzvs1cu84gv2k7","15","15","15","0.6","kw:SMALL","MLB4641298920",""
"cmnckfekd022mvs60wgwzt8nj","30","50","80","12","cat:MLB101763->XLARGE","MLB4657748176",""
"cmnckfekd022fvs60o7h5kwnj","30","50","80","12","cat:MLB101763->XLARGE","MLB4632169258",""
"cmnckbswd011tvs9kh0tnm41t","30","50","80","12","cat:MLB101763->XLARGE","MLB3670755311",""
"cmncla47v000cvs1csf6d9rhz","25","25","25","2","cat:MLB194174->MEDIUM","MLB3670341595",""
"cmnclamef03u6vs1cnqx10mkh","30","50","80","12","kw:XLARGE","MLB3678851651",""
"cmncla47v000bvs1cakv0e5pk","30","80","100","18","cat:MLB101765->XXLARGE","MLB3670264325",""
"cmnckfekd022jvs609hats530","30","50","80","12","cat:MLB101763->XLARGE","MLB4632249982",""
"cmnckfekd022cvs60m5ajeb2a","30","50","80","12","cat:MLB101763->XLARGE","MLB4631442548",""
"cmncla47v000hvs1c5nzqlhwk","25","25","25","2","cat:MLB191715->MEDIUM","MLB3675805865",""
"cmnckfeke022nvs60kycs5md7","25","25","25","2","cat:MLB22645->MEDIUM","MLB4657868490",""
"cmnckbung011zvs9kxt1j7n4f","30","50","80","12","cat:MLB101763->XLARGE","MLB3681038953",""
"cmnclamef03u2vs1cm7j1996y","15","15","15","0.6","cat:MLB191714->SMALL","MLB3675690549",""
"cmnckfeke022ovs60hh05aq97","25","25","25","2","cat:MLB22645->MEDIUM","MLB4657906198",""
"cmnclaqkb04jovs1c00uriu10","25","25","25","2","cat:MLB63512->MEDIUM","MLB4637543780",""
"cmnckbv8c0121vs9kbn1x5odt","30","50","80","12","cat:MLB101763->XLARGE","MLB3681078689",""
"cmnclamef03u1vs1c0d77u3wp","25","25","25","2","cat:MLB63512->MEDIUM","MLB3672726467",""
"cmnclamef03tzvs1cich3v24l","25","25","25","2","cat:MLB63512->MEDIUM","MLB3671873821",""
"cmnclamef03u0vs1cg3m00w6u","25","25","25","2","cat:MLB63512->MEDIUM","MLB3671888409",""
"cmnclaqkb04k4vs1c3bvfjhgb","15","15","15","0.6","cat:MLB191714->SMALL","MLB4678808136",""
"cmncla47v000gvs1c1hcmx9xn","15","15","15","0.6","kw:SMALL","MLB3671544989",""
"cmnckfeke022svs60g6x6nang","15","15","15","0.6","cat:MLB428983->SMALL","MLB4678647218",""
"cmnckfeke022pvs60dc0z2rj6","15","15","15","0.6","cat:MLB194431->SMALL","MLB4663497698",""
"cmnclac7u01x2vs1cxzfy3jmr","25","25","25","2","cat:MLB191715->MEDIUM","MLB4671229516",""
"cmncla47v000ivs1conuhhy99","30","80","100","18","cat:MLB101765->XXLARGE","MLB3685278911",""
"cmnclaqkb04jpvs1c9re4hzm1","25","25","25","2","cat:MLB63512->MEDIUM","MLB4637592792",""
"cmnclamef03ulvs1ccdx8ao84","15","15","15","0.6","cat:MLB191714->SMALL","MLB3689339933",""
"cmnclac7u01x3vs1con0ib3mw","10","10","50","0.8","cat:MLB192359->SMALL_LONG","MLB4678710582",""
"cmnclamef03ukvs1c8ccgwxbk","15","15","15","0.6","cat:MLB191714->SMALL","MLB3689299279",""
"cmnclaqkb04jsvs1c3z4xto9x","30","40","50","5","cat:MLB7863->LARGE","MLB4660095062",""
"cmnclamef03udvs1cr58rx4h3","30","50","80","12","kw:XLARGE","MLB3683570459",""
"cmnclaqkb04juvs1cpnq3w6ko","30","50","80","12","kw:XLARGE","MLB4663791756",""
"cmnclac7u01x4vs1ccz2sztx3","25","25","25","2","kw:MEDIUM","MLB4678832602",""
"cmnclaqkb04k2vs1cebck3xy0","15","15","15","0.6","cat:MLB191714->SMALL","MLB4678686304",""
"cmnclamef03ufvs1cqzvcr5d7","30","50","80","12","kw:XLARGE","MLB3684634227",""
"cmnclaqkb04k8vs1ce5ytsh6i","15","15","15","0.6","cat:MLB191714->SMALL","MLB4689856374",""
"cmnckfeke022rvs604x9y1cmo","15","15","15","0.6","cat:MLB194431->SMALL","MLB4671150728",""
"cmnclac7u01x6vs1ctzl0zm6x","25","25","25","2","cat:MLB278120->MEDIUM","MLB4688664188",""
"cmnclaqkb04k3vs1ckdwghqtu","25","25","25","2","kw:MEDIUM","MLB4678693642",""
"cmnclamef03uhvs1ckz4fv19t","30","50","80","12","kw:XLARGE","MLB3684711089",""
"cmnclaqkb04k6vs1caw1mscpu","15","15","15","0.6","fallback:SMALL","MLB4685680318",""
"cmncla47v000kvs1cifmz9ly2","25","25","25","2","cat:MLB191715->MEDIUM","MLB3690120119",""
"cmncla47v000lvs1cfm74l4al","15","15","15","0.6","cat:MLB270299->SMALL","MLB3690539921",""
"cmnclac7u01x5vs1ckmckeo21","25","25","25","2","cat:MLB47110->MEDIUM","MLB4681554898",""
"cmnclaqkb04k5vs1ctii93rqj","15","15","15","0.6","cat:MLB191714->SMALL","MLB4682044238",""
"cmnclac7u01x1vs1c0tjsaxah","30","80","100","18","cat:MLB101765->XXLARGE","MLB4667329374",""
"cmnclaqkb04k7vs1c7ncr1hvx","15","15","15","0.6","cat:MLB191714->SMALL","MLB4688439200",""
"cmncla47v000mvs1cc1qnbkci","15","15","15","0.6","cat:MLB270299->SMALL","MLB3691649439",""
"cmnclamef03urvs1c5evzrr6u","25","25","25","2","cat:MLB63512->MEDIUM","MLB3694003599",""
"cmncla47v000nvs1c7tivemh0","10","10","10","0.3","kw:TINY","MLB3691858243",""
"cmnckfeke022tvs607cj8g5sl","15","15","15","0.6","cat:MLB191714->SMALL","MLB4689903986",""
"cmnclamef03uqvs1c5at8nmep","15","15","15","0.6","cat:MLB191714->SMALL","MLB3693864085",""
"cmnclac7u01x0vs1cdb7fxawr","30","80","100","18","kw:XXLARGE","MLB4666557734",""
"cmnckbwyx0127vs9klzsfy8m5","15","15","15","0.6","cat:MLB428983->SMALL","MLB3689265705",""
"cmnclac7u01x8vs1cr1s89muj","15","15","15","0.6","kw:SMALL","MLB4693089624",""
"cmncla47v000jvs1cv2e58mvd","25","25","25","2","cat:MLB191715->MEDIUM","MLB3690080473",""
"cmnclaqkb04kavs1crtrhsqys","25","25","25","2","cat:MLB63512->MEDIUM","MLB4693411406",""
"cmnclac7u01xdvs1c3ptgv761","15","15","15","0.6","cat:MLB194805->SMALL","MLB4700033524",""
"cmnck5fzr00gdvs9k09qgcyed","15","15","15","0.6","kw:SMALL","MLB4693101080",""
