itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error,newProductId,newListingId,commitError
"MLB4580592391","JOTABÊ AUTOPEÇAS","MLB431130","Chicote Porta Dianteira Esquerda Ford Ka 2019","28652","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB431130->SMALL","cmmwbz148033xvsakbzpulpzu","","create-new","","cmnwf2cwy0byfvs4w0h3j1ea7","cmnwf2d4q0byhvs4wb6z4jvpm",""
"MLB6555499976","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Nissan Tiida 2011 Preto","28596","SELLER_SKU","200","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2dob0byjvs4woe8rqrip","cmnwf2dw60bylvs4wqssoz5vg",""
"MLB4580362379","JOTABÊ AUTOPEÇAS","MLB47115","Bomba Partida Frio Chevrolet Sonic 1.0 2012","28636","SELLER_SKU","19","1","15","15","15","0.6","cat:MLB47115->SMALL","cmmwc43c0076dvsakzrjrpsru","","create-new","","cmnwf2eg20bynvs4wve15ck3w","cmnwf2enu0bypvs4w8ai2t57q",""
"MLB4579708743","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Peugeot 307 2008 Preto","28598","SELLER_SKU","100","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2f7f0byrvs4wowzdykgd","cmnwf2ff60bytvs4w921iz0hr",""
"MLB4579727427","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Chevrolet Onix 2020 Preto","28603","SELLER_SKU","250","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2fyy0byvvs4wocqw4oyr","cmnwf2g6t0byxvs4wy0l7c187",""
"MLB4580301641","JOTABÊ AUTOPEÇAS","MLB194805","Suporte Coxim Traseiro Câmbio Volkswagen Gol G2 G3","28633","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB194805->SMALL","cmmwc4hch07i2vsak7lpjaaq4","","create-new","","cmnwf2gqb0byzvs4wyw1pox6r","cmnwf2gyb0bz1vs4w3ida1a4h",""
"MLB4579788089","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Jac J5 2015 Preto","28609","SELLER_SKU","329","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf2hhx0bz3vs4wqsg1kynx","cmnwf2hpt0bz5vs4wai5ps8gf",""
"MLB4580361601","JOTABÊ AUTOPEÇAS","MLB193785","Tampa Reservatorio Chevrolet Onix Prisma 2015","28635","SELLER_SKU","19","1","10","10","10","0.3","cat:MLB193785->TINY","cmmwc45l5078kvsakzsqocu0d","","create-new","","cmnwf2i9n0bz7vs4wjgp6bae5","cmnwf2ihj0bz9vs4wkclm34y7",""
"MLB4579804139","JOTABÊ AUTOPEÇAS","MLB193785","Suporte Superior Radiador Chevrolet Zafira 2.0 2005","28612","SELLER_SKU","19","1","10","10","10","0.3","cat:MLB193785->TINY","cmmwc45l5078kvsakzsqocu0d","","create-new","","cmnwf2j110bzbvs4wui843k2n","cmnwf2j8t0bzdvs4wqdhju334",""
"MLB4579867957","JOTABÊ AUTOPEÇAS","MLB194154","Coxim Amortecedor Volkswagen Gol G5 2008","28618","SELLER_SKU","19","2","15","15","15","0.6","fallback:SMALL","cmmwbz1o3034dvsakkwu5nyyh","","create-new","","cmnwf2jsa0bzfvs4ws9d9twaa","cmnwf2k050bzhvs4w5fs2mb77",""
