itemId,account,h,w,l,weightG,status,error
MLB4148979226,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4161049808,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4166832316,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3487813495,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3496121571,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
MLB3495861929,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4184595476,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4184066740,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4184358558,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3503055125,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3559629677,JOTABÊ AUTOPEÇAS,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB4350870024,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4349866912,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3561607031,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4354242500,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3561684607,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3561597623,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3563623119,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3563250369,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3563182163,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4353260780,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4352440110,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4353267836,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4353378012,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3562570467,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4353116124,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4355389252,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3563252105,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3565176755,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3565160807,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
MLB4370028824,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4370478016,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4369723394,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB4374209504,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4370617462,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3566105847,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4362919788,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4398644846,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3577739601,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4377962276,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
