itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error
"MLB6545352638","JOTABÊ AUTOPEÇAS","MLB191715","Máquina Vidro Manual Dianteira Direita Fiat Strada 2017","28478","SELLER_SKU","29","1","25","25","25","2","cat:MLB191715->MEDIUM","cmmwc42tk0762vsakjv783jgg","","create-new",""
"MLB6545367104","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Volkswagen Fox 2010 Esquerdo/motorista Vermelho","28479","SELLER_SKU","40","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545369078","JOTABÊ AUTOPEÇAS","MLB191713","Guia Vidro Lado Traseiro Direito Fiat Palio 2010 Preto","28483","SELLER_SKU","19","1","10","10","50","0.8","cat:MLB191713->SMALL_LONG","cmmwc42ub0766vsakpmh0vooi","","create-new",""
"MLB6545355480","JOTABÊ AUTOPEÇAS","MLB63788","Valvula Termostatica Renault Sandero 1.0 16v 2008","28482","SELLER_SKU","69","1","10","10","10","0.3","cat:MLB63788->TINY","cmmwc460z078rvsak66w5vnt1","","create-new",""
"MLB6544863314","JOTABÊ AUTOPEÇAS","MLB277952","Quebra Sol Esquerda Volkswagen Gol G7 2018","28455","SELLER_SKU","69","1","15","15","15","0.6","fallback:SMALL","cmmwbyhyb02o9vsak02chi4o8","","create-new",""
"MLB6543859284","JOTABÊ AUTOPEÇAS","MLB194771","Haste Vareta Capo Volkswagen Gol G7 2018","28434","SELLER_SKU","35","1","30","80","100","18","kw:XXLARGE","cmmwc47w407agvsakh7qedkoq","","create-new",""
"MLB6544465306","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direito Ford Ka 2010 Esquerdo/motorista Vermelho","28441","SELLER_SKU","99","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544505106","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Hyundai Hb20 Hatch 2013 Direito/passageiro Vermelho","28444","SELLER_SKU","175","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545184906","JOTABÊ AUTOPEÇAS","MLB193785","Tampa Reservatorio Radiador Volkswagen Gol G7 2018","28458","SELLER_SKU","29","1","10","10","10","0.3","cat:MLB193785->TINY","cmmwc45l5078kvsakzsqocu0d","","create-new",""
"MLB6544369898","JOTABÊ AUTOPEÇAS","MLB45320","Porta Objetos Painel Volkswagen Gol G7 2018 Preto","28445","SELLER_SKU","35","1","15","15","15","0.6","fallback:SMALL","cmmwc4tv807sfvsakqgv4921s","","create-new",""
"MLB6545187400","JOTABÊ AUTOPEÇAS","MLB431174","Filtro Canister Chevrolet Cruze 1.4 2017","28459","SELLER_SKU","59","1","10","10","10","0.3","cat:MLB431174->TINY","cmmwbyx3f030nvsakaxpxknjj","","create-new",""
"MLB6543891002","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Hyundai Hb20 2016 Esquerdo/motorista Vermelho","28433","SELLER_SKU","50","2","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544000268","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Fiat Uno 2012 Esquerdo/motorista Vermelho","28437","SELLER_SKU","75","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544483900","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Chevrolet Celta 2007 Esquerdo/motorista Vermelho","28446","SELLER_SKU","50","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
